model_name,filename,cultures_codes,stress_type,n_obs,n_parcelles,n_zones,rate_anomalie,score_mean,size_mb,path
AZOTE_BTH,isolation_forest_AZOTE_BTH.joblib,BTH,AZOTE,563582,2407,8,8.0,0.0628,3.65,../data/processed/models/isolation_forest_AZOTE_BTH.joblib
AZOTE_VRC,isolation_forest_AZOTE_VRC.joblib,VRC,AZOTE,16022,440,2,8.0,0.0725,3.7,../data/processed/models/isolation_forest_AZOTE_VRC.joblib
AZOTE_MIS,isolation_forest_AZOTE_MIS.joblib,"MIS,MIE",AZOTE,181258,1024,6,8.0,0.0585,3.85,../data/processed/models/isolation_forest_AZOTE_MIS.joblib
AZOTE_CZH,isolation_forest_AZOTE_CZH.joblib,CZH,AZOTE,198753,890,7,8.0,0.0579,3.83,../data/processed/models/isolation_forest_AZOTE_CZH.joblib
AZOTE_ORX,isolation_forest_AZOTE_ORX.joblib,"ORH,ORP",AZOTE,230536,1166,7,8.0,0.063,3.82,../data/processed/models/isolation_forest_AZOTE_ORX.joblib
AZOTE_GENERAL,isolation_forest_AZOTE_GENERAL.joblib,ALL,AZOTE,1906047,9680,8,8.0,0.0558,3.69,../data/processed/models/isolation_forest_AZOTE_GENERAL.joblib
RAVAGEURS_BTH,isolation_forest_RAVAGEURS_BTH.joblib,BTH,RAVAGEURS,563582,2407,8,5.0,0.094,3.41,../data/processed/models/isolation_forest_RAVAGEURS_BTH.joblib
RAVAGEURS_VRC,isolation_forest_RAVAGEURS_VRC.joblib,VRC,RAVAGEURS,16022,440,2,5.0,0.091,3.49,../data/processed/models/isolation_forest_RAVAGEURS_VRC.joblib
RAVAGEURS_MIS,isolation_forest_RAVAGEURS_MIS.joblib,"MIS,MIE",RAVAGEURS,181258,1024,6,5.0,0.0916,3.5,../data/processed/models/isolation_forest_RAVAGEURS_MIS.joblib
RAVAGEURS_CZH,isolation_forest_RAVAGEURS_CZH.joblib,CZH,RAVAGEURS,198753,890,7,5.0,0.0852,3.47,../data/processed/models/isolation_forest_RAVAGEURS_CZH.joblib
RAVAGEURS_ORX,isolation_forest_RAVAGEURS_ORX.joblib,"ORH,ORP",RAVAGEURS,230536,1166,7,5.0,0.0931,3.52,../data/processed/models/isolation_forest_RAVAGEURS_ORX.joblib
RAVAGEURS_GENERAL,isolation_forest_RAVAGEURS_GENERAL.joblib,ALL,RAVAGEURS,1906047,9680,8,5.0,0.0922,3.3,../data/processed/models/isolation_forest_RAVAGEURS_GENERAL.joblib
HYDRIQUE_BTH,isolation_forest_HYDRIQUE_BTH.joblib,BTH,HYDRIQUE,563582,2407,8,10.0,0.0529,3.2,../data/processed/models/isolation_forest_HYDRIQUE_BTH.joblib
HYDRIQUE_VRC,isolation_forest_HYDRIQUE_VRC.joblib,VRC,HYDRIQUE,16022,440,2,10.0,0.0736,3.34,../data/processed/models/isolation_forest_HYDRIQUE_VRC.joblib
HYDRIQUE_MIS,isolation_forest_HYDRIQUE_MIS.joblib,"MIS,MIE",HYDRIQUE,181258,1024,6,10.0,0.0614,3.31,../data/processed/models/isolation_forest_HYDRIQUE_MIS.joblib
HYDRIQUE_CZH,isolation_forest_HYDRIQUE_CZH.joblib,CZH,HYDRIQUE,198753,890,7,10.0,0.0534,3.55,../data/processed/models/isolation_forest_HYDRIQUE_CZH.joblib
HYDRIQUE_ORX,isolation_forest_HYDRIQUE_ORX.joblib,"ORH,ORP",HYDRIQUE,230536,1166,7,10.0,0.0536,3.17,../data/processed/models/isolation_forest_HYDRIQUE_ORX.joblib
HYDRIQUE_GENERAL,isolation_forest_HYDRIQUE_GENERAL.joblib,ALL,HYDRIQUE,1906047,9680,8,10.0,0.0564,3.19,../data/processed/models/isolation_forest_HYDRIQUE_GENERAL.joblib
